	individual_1	individual_2	individual_3	individual_4	individual_5	individual_6
cg05652666	0.938051993	0.949434851	0.947546493	0.952469895	0.954778811	0.947642157
cg05659187	0.049162378	0.038892228	0.030256498	0.048730497	0.036093506	0.046338125
cg05693864	NA	NA	NA	NA	NA	NA
cg05710060	NA	NA	NA	NA	NA	NA
cg05710512	0.770131822	0.809700732	0.824896768	0.7832069	0.764471328	0.861159525
cg05729745	0.869749419	0.803077087	0.832676789	0.875165306	0.868564143	0.938893623
cg05749642	0.617428763	0.654629716	0.557520735	0.661028128	0.646193011	0.614170478
cg05785424	NA	NA	NA	NA	NA	NA
cg05794927	NA	NA	NA	NA	NA	NA
cg05798641	NA	NA	NA	NA	NA	NA
cg05800983	0.917695985	0.918870394	0.856275126	0.864602024	0.905543685	0.897827521
cg05818501	NA	NA	NA	NA	NA	NA
cg05827546	0.506919652	0.523360503	0.591449003	0.496215573	0.51862132	0.546468004
cg05832853	0.944587752	0.943972051	0.950717375	0.915383067	0.943972423	0.935336637
cg05835635	0.621158975	0.577844134	0.556227384	0.62298941	0.57155542	0.619698214
cg05840412	0.604804944	0.656273813	0.656289176	0.56068504	0.561178006	0.570736327
cg05846633	0.545187382	0.478346732	0.497480972	0.635799964	0.443733429	0.562181288
cg05848894	NA	NA	NA	NA	NA	NA
cg05855347	0.936850779	0.945617013	0.956946371	0.914937353	0.937845328	0.927583172
cg05860566	0.390305784	0.346231973	0.32755027	0.417933544	0.416677761	0.418886327
cg05887431	0.76282645	0.764667754	0.655099024	0.868510596	0.848855686	0.840076578
cg05928053	0.591583309	0.537217969	0.611030854	0.44609699	0.589306057	0.54189418
cg05930207	0.705588183	0.773939258	0.621555385	0.774570318	0.783222242	0.763482369
cg05934682	0.573861805	0.489564998	0.545523385	0.554947323	0.579139631	0.613641517
cg05948955	NA	NA	NA	NA	NA	NA
cg05963690	0.100035093	0.135481365	0.210464479	0.1105461	0.092402733	0.078413663
cg05977333	NA	NA	NA	NA	NA	NA
cg05992904	0.868642536	0.814584095	0.91854613	0.75385455	0.900505693	0.847926044
cg05995465	NA	NA	NA	NA	NA	NA
cg06049774	NA	NA	NA	NA	NA	NA
cg06106103	NA	NA	NA	NA	NA	NA
cg06161964	0.124632388	0.100640582	0.092388688	0.123517356	0.179204769	0.12975928
cg06204735	0.042167641	0.073911999	0.040907903	0.054205281	0.04411164	0.049067272
cg06220958	0.379705576	0.349190364	0.324951511	0.33727004	0.43634759	0.402337551
cg06242330	NA	NA	NA	NA	NA	NA
cg06249198	NA	NA	NA	NA	NA	NA
cg06263341	0.165700479	0.152362013	0.147136704	0.186345013	0.156512404	0.177792988
cg06300880	NA	NA	NA	NA	NA	NA
cg06352538	NA	NA	NA	NA	NA	NA
cg06355422	0.964824118	0.956144953	0.968644188	0.941281523	0.969808252	0.971103709
cg06371583	0.409686919	0.45047036	0.456627656	0.414566261	0.400612047	0.420700189
cg06391107	0.089140698	0.101371007	0.095078946	0.096905208	0.098380012	0.093553601
cg06392426	0.085009632	0.08388932	0.080074164	0.072100333	0.049278367	0.086038217
cg06394820	NA	NA	NA	NA	NA	NA
cg06410510	0.618240267	0.587126215	0.555109435	0.692072112	0.661207022	0.643676383
cg06432309	NA	NA	NA	NA	NA	NA
cg06437931	NA	NA	NA	NA	NA	NA
cg06461408	0.891949139	0.891206728	0.894121655	0.871566217	0.894553941	0.901142438
cg06463185	0.965236624	0.96235791	0.96767817	0.964877118	0.96774965	0.972101896
cg06492076	0.915496311	0.913382848	0.929271988	0.869796531	0.904360799	0.878427538
cg06513375	0.878428013	0.89379102	0.904856424	NA	0.828122659	0.862008399
cg06521088	0.983829042	0.983748666	0.986423075	0.974081836	0.983367405	0.978974615
cg06531475	0.243169892	0.20324693	0.245351827	0.254679802	0.244148141	0.285529966
cg06532037	0.029079535	0.024696718	0.027454255	0.037622312	0.026190636	0.027897354
cg06565253	0.504662302	0.539956212	0.535199803	0.526595368	0.589394828	0.553276648
cg06571090	0.960003903	0.961034641	0.964189089	0.950850813	0.95772506	0.956221966
cg06576318	0.445656177	0.469345023	0.420459752	0.40719125	0.478754979	0.490309549
cg06603649	0.924150762	0.918234928	0.946937663	NA	0.933783917	0.869487767
cg06609049	0.058058068	0.100514675	0.117685988	0.125668478	0.126272442	0.126157114
cg06609051	0.897330032	0.86575151	0.904230471	0.828946886	0.853541437	NA
cg06610329	0.938759772	0.922650379	0.94670355	0.866767427	0.934536303	0.91295473
cg06653140	NA	NA	NA	NA	NA	NA
cg06703213	NA	NA	NA	NA	NA	NA
cg06703844	NA	NA	NA	NA	NA	NA
cg06704969	NA	NA	NA	NA	NA	NA
cg06706813	0.934010647	0.929874682	0.948670882	0.920156344	0.933034749	0.930498906
cg06715628	NA	NA	NA	NA	NA	NA
cg06718159	NA	NA	NA	NA	NA	NA
cg06737308	0.619889467	0.425380676	0.407972254	0.660221102	0.612275785	0.430353481
cg06755071	0.588596582	0.521044327	0.476133384	0.704805061	0.651025193	0.660017882
cg06755654	NA	NA	NA	NA	NA	NA
cg06758191	NA	NA	NA	NA	NA	NA
cg06761912	NA	NA	NA	NA	NA	NA
cg06767025	NA	NA	NA	NA	NA	NA
cg06768010	0.589631279	0.587847234	0.525820591	0.590980299	0.630386701	0.558445559
cg06770995	0.948062491	0.956768058	0.956118881	0.927510449	0.951416509	0.93992958
cg06773033	0.928661128	0.926312852	0.881991281	0.907606941	0.944810858	0.9154642
cg06791546	0.894454553	0.887752687	0.635877437	0.865243699	0.759526756	0.876132495
cg06812747	0.806796249	0.858537803	0.789641095	0.799258392	0.651313352	0.663684417
cg06815965	0.938938935	0.947441733	0.933004843	0.911465994	0.945605181	0.935999907
cg06821009	NA	NA	NA	NA	NA	NA
cg06823354	0.894593492	0.88379132	0.917416084	0.886544148	0.887614091	0.837459008
cg06830064	0.949335844	0.949139928	0.949273199	0.921836021	0.941775719	0.930476653
cg06849778	NA	NA	NA	NA	NA	NA
cg06849895	NA	NA	NA	NA	NA	NA
cg06856720	0.270479917	0.280810077	0.255174061	0.297667666	0.341279428	0.265560318
cg06895218	0.890742535	0.857499819	0.846944392	0.873548281	0.881671626	0.878611936
cg06903451	0.885510455	0.867936662	0.890304124	0.888995061	0.880590847	0.926102447
cg06911020	0.019760775	0.019248455	0.017321472	0.024498082	0.021424195	0.022908485
cg06917450	0.211853439	0.167771622	0.164486807	0.163203852	0.206084454	0.194621906
cg06937717	0.175928694	0.086372216	0.22608263	0.045186557	0.07891207	0.173228832
cg06945697	NA	NA	NA	NA	NA	NA
cg06960457	NA	NA	NA	NA	NA	NA
cg06962428	NA	NA	NA	NA	NA	NA
cg07073561	NA	NA	NA	NA	NA	NA
cg07078329	0.798200261	0.785430583	0.783559999	0.771915141	0.772624729	0.80628856
cg07095347	0.612983946	0.572888379	0.484632563	0.700870341	0.615394919	0.69911637
cg07099073	0.944150895	0.945559265	0.951262134	0.911658217	0.947145483	0.939215812
cg07106927	0.924529459	0.918435425	0.937958558	0.932387565	0.936008127	0.92552039
cg07112210	0.427677034	0.387800551	0.368452683	0.350515026	0.386672426	0.399307454
cg07117674	0.084301924	0.068620925	0.071060958	0.072969875	0.05692845	0.090851758
cg07126783	0.410590067	0.467167482	0.397831022	0.469959124	0.414125861	0.413879012
cg07130601	0.925038571	0.926164401	0.943989467	0.908140514	0.934439189	0.919511763
cg07136920	NA	NA	NA	NA	NA	NA
cg07137934	0.659931807	0.685031209	0.718283295	0.555182308	0.715939268	0.627679149
cg07138437	0.791480132	0.745967059	0.915120484	0.70167973	0.861338723	0.722295271
cg07149609	0.024954539	0.021257946	0.024051654	0.027449502	0.026742301	0.031375419
cg07157834	0.905601671	0.750786406	0.655425613	0.814087613	0.620566894	0.728758927
cg07167872	0.853474797	0.556676158	0.317914639	0.748472613	0.366645594	0.663778548
cg07180971	NA	NA	NA	NA	NA	NA
cg07200421	0.858894508	0.887699012	0.877102439	0.782624113	0.78367742	0.827086628
cg07203561	0.084907464	0.063674194	0.057574548	0.06401218	0.066549619	0.059425548
cg07203817	0.94989492	0.947660332	0.955520955	0.905109687	0.941760399	0.929809428
cg07211259	0.592547316	0.550624322	0.593297102	0.571078197	0.563597954	0.600626021
cg07216884	0.847045744	0.782283959	0.851274888	0.767188893	0.853453377	0.777325121
cg07219303	0.853506139	0.909694211	0.926010482	NA	0.928008464	0.878967159
cg07219769	0.163476872	0.14925759	0.135195496	0.157803609	0.230213203	0.169746267
cg07224726	0.083367845	0.078766589	0.0759623	0.065263979	0.07835938	0.064464971
cg07240846	NA	NA	NA	NA	NA	NA
cg07287078	NA	NA	NA	NA	NA	NA
cg07302677	0.686643679	0.781648491	0.745863244	0.614423055	0.728332927	0.75612401
cg07304760	NA	NA	NA	NA	NA	NA
cg07319199	NA	NA	NA	NA	NA	NA
cg07333608	NA	NA	NA	NA	NA	NA
cg07335376	0.569389279	NA	0.42478996	NA	0.446326205	NA
cg07429710	0.952936988	0.947928993	0.957986602	0.919018143	0.953733599	0.933375931
cg07437923	NA	NA	NA	NA	NA	NA
cg07450671	NA	NA	NA	NA	NA	NA
cg07467765	0.97137315	0.965810746	0.950725437	0.962921649	0.976444056	0.974920497
cg07482223	NA	NA	NA	NA	NA	NA
cg07484727	0.683699072	0.633698054	0.762979684	0.608532476	0.686729786	0.649892765
cg07490485	NA	NA	NA	NA	NA	NA
cg07519229	0.44110909	NA	0.4450124	NA	0.408981951	NA
cg07522918	NA	NA	NA	NA	NA	NA
cg07547054	0.874423097	0.86309391	0.891447804	0.893365102	0.919894106	0.930098794
cg07556569	0.870033999	0.930898938	0.926594983	0.929359562	0.904606351	0.930574029
cg07587746	0.77958944	0.742208504	0.545430889	0.831000762	0.806426764	0.831900144
cg07602200	0.069442672	0.055464604	0.062568862	0.059568457	0.065374264	0.056830781
cg07620853	NA	NA	NA	NA	NA	NA
cg07638857	0.803695012	0.576401284	0.458898094	NA	0.712430142	0.701252266
cg07656641	0.929001961	0.9249843	0.920219325	0.916337187	0.931125407	0.909368937
cg07679836	0.268961593	0.219936774	0.196253185	0.318826544	0.272284359	0.261867968
cg07696102	0.935178588	0.924404354	0.932215648	0.922709837	0.944292377	0.937115107
cg07706367	0.963760308	0.976736933	0.932791328	0.968494967	0.975758376	0.973599092
cg07748255	NA	NA	NA	NA	NA	NA
cg07772791	NA	NA	NA	NA	NA	NA
cg07781082	0.016619157	0.015417201	0.016992513	0.016856808	0.018160728	0.015388221
cg07791866	0.233694397	0.146602799	0.15937006	0.141257299	0.205927044	0.206662136
cg07801894	NA	NA	NA	NA	NA	NA
cg07808899	0.905113715	0.866008042	0.807606557	0.922282312	0.914966509	0.896254208
cg07824172	0.226842243	0.27482976	0.272423793	0.169127262	0.258816341	0.239865748
cg07832337	NA	NA	NA	NA	NA	NA
cg07842289	0.869980593	0.890971389	0.905115928	0.842559089	0.899343218	0.903249406
cg07861456	0.850126415	0.867515718	0.882646835	0.894092678	0.840564767	0.912481246
cg07873449	0.898835837	0.925313755	0.910313006	0.934251814	0.888912346	0.93797525
cg07883117	0.807564381	0.807740814	0.816800687	0.769678636	0.712542712	0.675909116
cg07910986	0.10461807	0.092419161	0.096079202	0.086389316	0.093418121	0.089594949
cg07928883	0.783390635	0.788890046	0.77587817	0.880629979	0.718804745	0.80089828
cg07950244	0.947966004	0.956062932	0.960634836	0.953222597	0.964587485	0.96030179
cg07955105	NA	NA	NA	NA	NA	NA
cg07983955	0.0947042	0.083070706	0.100708525	0.144402628	0.120728276	0.124309959
cg08004620	NA	NA	NA	NA	NA	NA
cg08017634	0.602700207	0.686796417	0.674941926	0.550786969	0.565184943	0.517643531
cg08024887	0.526527105	0.467524174	0.521801683	0.453432169	0.528086084	0.544295862
cg08033998	NA	NA	NA	NA	NA	NA
cg08038231	0.91635438	0.914560405	0.869681124	0.928566629	0.94133381	0.908241691
cg08047252	0.118151881	0.073162091	0.121560154	0.158923694	0.120732922	0.083492953
cg08049519	NA	NA	NA	NA	NA	NA
cg08071282	NA	NA	NA	NA	NA	NA
cg08073280	0.943813996	0.943856049	0.947052014	0.912553148	0.943577448	0.918749425
cg08081524	0.060676016	0.047448178	0.055470199	0.046874336	0.067021882	0.04632109
cg08084946	0.938072941	0.945117292	0.946362605	0.913682828	0.943598282	0.939862626
cg08084984	NA	NA	NA	NA	NA	NA
cg08100221	NA	NA	NA	NA	NA	NA
cg08103472	NA	NA	NA	NA	NA	NA
cg08121890	0.944035257	0.946764378	0.937969002	0.934323474	0.924361262	0.948092462
cg08131860	NA	NA	NA	NA	NA	NA
cg08191046	0.852426091	0.801927667	0.809445976	0.877570113	0.861947283	0.805120399
cg08197981	0.757939132	0.793764717	0.717296062	0.775830368	0.773360498	0.752295052
cg08198330	0.973364438	0.982440924	0.972903202	0.95497749	0.977109379	0.977275308
cg08204023	0.121240667	0.108821367	0.103141184	0.144927168	0.098565805	0.116348337
cg08211068	0.976109383	0.97323127	0.975727418	0.965900061	0.973869686	0.975208446
cg08217388	NA	NA	NA	NA	NA	NA
cg08231349	NA	NA	NA	NA	NA	NA
cg08249296	NA	NA	NA	NA	NA	NA
cg08292959	NA	NA	NA	NA	NA	NA
cg08293324	NA	NA	NA	NA	NA	NA
cg08296680	0.249316447	0.230725262	0.231088932	0.267409302	0.301688832	0.275157961
cg08318587	NA	NA	NA	NA	NA	NA
cg08320225	0.36299003	0.372440954	0.408341238	NA	0.327572872	0.344853523
cg08327690	0.158201165	0.171432544	0.116678261	0.218710821	0.114418485	0.176408962
cg08350814	0.022520833	0.021707741	0.020750252	0.027591629	0.02171452	0.031183095
cg08350962	0.953285814	0.943598201	0.943018439	0.944931443	0.932894686	0.938224955
cg08355260	0.296580077	0.171970182	0.175407548	0.324263958	0.259380084	0.223362537
cg08371706	0.940995645	0.945791326	0.948714932	0.910564514	0.938963254	0.935470589
cg08386137	0.916815342	0.902811075	0.931348135	NA	0.924474063	0.866548998
cg08407901	NA	NA	NA	NA	NA	NA
cg08416394	0.966794794	0.967735271	0.971691083	0.954812747	0.968765441	0.963913005
cg08419921	0.807924472	0.80432413	0.873491656	0.86788755	0.693598414	0.691074701
cg08456754	NA	NA	NA	NA	NA	NA
cg08457178	0.61497348	0.592186302	0.711312322	0.402983413	0.528576713	0.538159728
cg08482215	0.500386796	0.441681647	0.586049093	0.437873035	0.461048461	0.495916698
cg08490529	0.93048578	0.946216953	0.944249432	0.931032058	0.93333924	0.93546637
cg08493899	0.01964615	0.016780038	0.032726859	0.02253786	0.024058669	0.023672784
cg08496123	0.859736337	0.89494683	0.857282272	0.858817716	0.888676218	0.907086823
cg08508337	0.017281971	0.023895539	0.034109223	0.021530314	0.018645333	0.022117148
cg08532057	0.215866587	0.144719715	0.20839874	0.212764281	0.153964754	0.143717058
cg08570118	NA	NA	NA	NA	NA	NA
cg08571639	NA	NA	NA	NA	NA	NA
cg08604181	0.940487931	0.933490343	0.956960316	0.893172394	0.929707172	0.91118755
cg08627825	NA	NA	NA	NA	NA	NA
cg08650125	NA	NA	NA	NA	NA	NA
cg08687386	0.50543979	0.534059043	0.60419828	0.422253001	0.466255564	0.448877108
cg08692828	0.847164499	0.839820356	0.848667786	0.849488268	0.862937748	0.874944188
cg08704934	NA	NA	NA	NA	NA	NA
cg08727239	0.896742628	0.9329611	0.908128748	0.877769054	0.873698032	0.882568502
cg08760402	0.94843975	0.947407591	0.951616345	0.935110665	0.951152879	0.939400434
cg08767938	0.512791273	0.494048049	0.46862381	0.483082303	0.64004698	0.68912672
cg08770961	0.796865806	0.759848053	0.795081706	0.698954928	0.689710513	0.748537601
cg08776855	0.909334642	0.900771824	0.929011551	0.875139894	0.920297304	0.899446797
cg08794940	0.301401887	0.29689185	0.359209592	0.25445169	0.227355205	0.243349667
cg08808042	0.665426968	0.712864287	0.712773746	0.701926585	0.588216935	0.689997959
cg08825200	0.815966794	0.809593614	0.82842484	0.730386861	0.787807604	0.754951942
cg08831080	0.950643071	0.932013524	0.91049168	0.946225551	0.947592308	0.952579807
cg08831744	0.114006353	0.080610975	0.136925111	0.083728207	0.1075954	0.088679901
cg08832220	0.398490238	0.387228271	0.34856401	0.370286912	0.417361625	0.465573575
cg08835221	0.182417434	0.133166016	0.179089492	0.12364711	0.238120752	0.198841962
cg08835992	0.919200013	0.872895251	0.83601793	0.860592754	0.856919989	0.852146673
cg08842508	0.943036394	0.938634974	0.921876776	0.91048997	0.935544783	0.914686594
cg08860622	0.939372033	0.929946381	0.933544655	0.930547657	0.914989024	0.913282285
cg08876039	0.517846884	0.556474538	0.628032285	0.540010572	0.507245792	0.550720007
cg08884363	NA	NA	NA	NA	NA	NA
cg08898775	0.220099269	0.145412867	0.137186589	0.237611126	0.182636972	0.216463983
cg08903465	NA	NA	NA	NA	NA	NA
cg08921800	0.949733371	0.956200721	0.95591454	0.936414407	0.952064757	0.949799782
cg08923669	0.097952545	0.10065826	0.472761288	0.132124559	0.093275179	0.081664836
cg08939850	0.331641205	0.334962133	0.324897488	0.364499409	0.368086242	0.27049897
cg08940490	0.759427988	0.731464467	0.722596962	0.734303226	0.758286559	0.690531886
cg08950364	NA	NA	NA	NA	NA	NA
cg08963013	NA	NA	NA	NA	NA	NA
cg08969669	NA	NA	NA	NA	NA	NA
cg08980509	0.043708788	0.033294409	0.051502696	0.04437307	0.035897837	0.039740895
cg08996597	NA	NA	NA	NA	NA	NA
cg09015880	NA	NA	NA	NA	NA	NA
cg09030119	NA	NA	NA	NA	NA	NA
cg09030672	0.171130554	0.115642711	0.12117736	0.130488961	0.137425558	0.177986251
cg09035925	0.21787053	0.174190319	0.1841277	0.330753967	0.297900121	0.223485371
cg09037813	0.773871686	0.77969474	0.821218398	0.636549678	0.725413696	0.642695603
cg09051157	0.931742757	0.927005196	0.939108876	0.904224564	0.925054635	0.925108072
cg09067459	0.601199216	0.680166116	0.563092574	0.768035068	0.663878099	0.607406914
cg09081941	NA	NA	NA	NA	NA	NA
cg09093150	0.548169639	0.48952606	0.500247239	0.574486854	0.569759325	0.506663278
cg09125924	0.933778975	0.920434694	0.928689405	0.884639473	0.935643131	0.92662744
cg09136878	0.241571942	0.238143692	0.291469089	0.276440871	0.250514472	0.245811063
cg09137135	0.931898666	0.930668019	0.941182267	0.922598812	0.939162574	0.923079251
cg09147119	0.562530083	0.454163183	0.404892468	0.692481921	0.538362484	0.520824964
cg09154639	0.75969915	0.826899281	0.835353324	0.787777083	0.923057205	0.92857701
cg09157251	0.43444321	0.382237476	0.367983867	NA	NA	NA
cg09167828	NA	NA	NA	NA	NA	NA
cg09196959	0.878583008	0.873604686	0.904058052	0.873417027	0.890668847	0.886397964
cg09201264	0.028722336	0.032150642	0.032319164	0.028947475	0.031169972	0.030220445
cg09217309	0.081104496	0.095370536	0.083674681	0.115688459	0.103283433	0.112383268
cg09231843	NA	NA	NA	NA	NA	NA
cg09235583	0.445429582	0.445836687	0.585814924	0.402948379	0.347434312	0.401788926
cg09247979	NA	NA	NA	NA	NA	NA
cg09271709	NA	NA	NA	NA	NA	NA
cg09281805	NA	NA	NA	NA	NA	NA
cg09295021	NA	NA	NA	NA	NA	NA
cg09309261	0.372670073	0.352486782	0.429318697	0.311138393	0.350144474	0.312495
cg09323467	0.029715668	0.024079078	0.027902905	0.02934805	0.027768932	0.037100663
cg09340713	0.960527796	0.952115085	0.956174139	0.929557365	0.952909883	0.942835007
cg09344028	0.909185029	0.931295143	0.936703985	0.905051933	0.912351021	0.912964101
cg09351263	NA	NA	NA	NA	NA	NA
cg09355697	0.967006792	0.952192141	0.94890451	0.940369588	0.961627768	0.94115928
cg09427741	0.962827747	0.95462488	0.959861742	0.9223395	0.961946524	0.951366987
cg09472901	0.950422153	0.961381588	0.958068111	0.941032851	0.959709926	0.953993961
cg09473249	0.926984813	0.953989966	0.937871613	0.924707701	0.944831054	0.922655989
cg09473763	0.941922634	0.951119936	0.952995289	0.881539979	0.952444556	0.933482996
cg09545109	0.625606676	0.685105984	0.614400162	0.624826133	0.565077319	0.547920898
cg09567173	0.619474577	0.643863856	0.570133982	0.712562314	0.667301074	0.667426975
cg09581935	0.960465038	0.955565907	0.963480264	0.919475166	0.947249682	0.931761251
cg09605726	0.078685964	0.072823923	0.059256256	0.10015733	0.077914271	0.065060428
cg09611756	0.098285202	0.109877775	0.11462905	0.069237103	0.117091031	0.084961995
cg09620718	0.922578572	0.921153694	0.921080943	0.880894134	0.890774337	0.894637908
cg09651654	NA	NA	NA	NA	NA	NA
cg09669931	0.952964247	0.94114486	0.941579695	0.912640192	0.930772068	0.944181623
cg09692364	0.951237333	0.961151693	0.96184029	0.930836957	0.941493488	0.940881195
cg09692670	NA	NA	NA	NA	NA	NA
cg09714315	NA	NA	NA	NA	NA	NA
cg09714852	NA	NA	NA	NA	NA	NA
cg09737870	0.928302459	0.944318732	0.968422313	0.860836775	0.895082231	0.923911517
cg09777042	NA	NA	NA	NA	NA	NA
cg09785512	NA	NA	NA	NA	NA	NA
cg09790289	0.023988115	0.022595795	0.025003144	0.023454752	0.023099466	0.025207011
cg09796640	0.273526478	0.195244627	0.255566966	0.198099802	0.263702481	0.258791105
cg09816507	0.166081667	0.107953747	0.138578249	0.119785621	0.182352896	0.121041682
cg09819958	NA	NA	NA	NA	NA	NA
cg09827826	0.968819751	0.980359255	0.971616131	0.946820453	0.934174974	0.939943468
cg09829645	NA	NA	NA	NA	NA	NA
cg09841001	0.262887307	0.158696431	0.291710207	0.195458067	0.300735236	0.30885979
cg09843049	0.784561154	0.82235221	0.833110548	0.682586259	0.816722557	0.784141845
cg09874415	0.917462984	0.917140783	0.879276073	0.881509942	0.894055924	0.890166472
cg09874643	NA	NA	NA	NA	NA	NA
cg09908042	NA	NA	NA	NA	NA	NA
cg09916840	NA	NA	NA	NA	NA	NA
cg09928157	NA	NA	NA	NA	NA	NA
cg09933355	0.84653802	0.834781219	0.808074343	0.832053412	0.828195627	0.811691189
cg09936142	0.931899381	0.933978528	0.93024591	0.911011966	0.929560713	0.920862248
cg09952395	0.032083845	0.036980361	0.039204956	0.052555548	0.038674722	0.04170432
cg09977980	NA	NA	NA	NA	NA	NA
cg10068464	NA	NA	NA	NA	NA	NA
cg10093859	NA	NA	NA	NA	NA	NA
cg10098670	0.918995702	0.92282207	0.946404201	0.931392018	0.929955633	0.925069191
cg10118968	0.148095712	0.163743001	0.132106544	NA	0.158512349	0.216054357
cg10130257	NA	NA	NA	NA	NA	NA
cg10130564	0.389056804	0.449004437	0.509379675	0.259961656	0.55548749	0.537099746
cg10147027	0.318118594	0.373809966	0.387896566	0.234706179	NA	0.275000833
cg10152131	NA	NA	NA	NA	NA	NA
cg10166986	NA	NA	NA	NA	NA	NA
cg10194039	0.92156271	0.931322474	0.928308274	0.889502153	0.911039023	0.91289402
cg10201141	0.39236639	0.378170101	0.386505095	0.398754697	0.365090302	0.359537965
cg10213875	0.236444041	0.128528883	0.207720397	0.13827845	0.169648739	0.258858666
cg10240950	NA	NA	NA	NA	NA	NA
cg10249221	NA	NA	NA	NA	NA	NA
cg10259748	0.054538609	0.039812613	0.050415775	0.040383063	0.054565074	0.046064493
cg10259889	NA	NA	NA	NA	NA	NA
cg10261205	0.965738661	0.980316109	0.97590587	0.933243078	0.864738269	0.840474811
cg10270306	0.069908005	0.0244025	0.12999885	0.069503978	0.071835955	0.079676192
cg10285743	NA	NA	NA	NA	NA	NA
cg10290988	0.599591054	0.683508789	0.618733274	0.682228904	0.655389003	0.65367803
cg10292139	0.185940003	0.103408486	0.175695061	NA	0.1242408	0.181805338
cg10307602	0.914690732	0.933810305	0.928794012	0.841240177	0.893057713	0.929670168
cg10307904	0.938915888	0.963089569	0.963770145	0.925952308	0.960101956	0.951009038
cg10316617	NA	NA	NA	NA	NA	NA
cg10317717	0.42259396	0.271892667	0.330727028	0.298988706	0.38670169	0.434561251
cg10379472	0.516842895	0.525608318	0.685623106	0.546814011	0.539377774	0.516388348
cg10411146	0.985307996	0.986799381	0.987533511	0.97203779	0.970642357	0.982422282
cg10415021	NA	NA	NA	NA	NA	NA
cg10418162	0.167094919	0.151686061	0.121907577	0.176113868	0.177997697	0.169487368
cg10425005	0.108805055	0.092213866	0.092127291	0.107115441	0.088291725	0.09715736
cg10427430	0.847241197	0.856700059	0.872303249	0.729476542	0.871782683	0.835349974
cg10428733	NA	NA	NA	NA	NA	NA
cg10430994	0.948703855	0.941503297	0.931637769	0.897038084	0.935746955	0.903488842
cg10449329	NA	NA	NA	NA	NA	NA
cg10453420	0.181799274	0.167800323	0.18456341	0.17773059	0.209528153	0.177604768
cg10485768	NA	NA	NA	NA	NA	NA
cg10503359	NA	NA	NA	NA	NA	NA
cg10510935	NA	NA	NA	NA	NA	NA
cg10520799	0.934960508	0.938953389	0.945904899	0.884679095	0.941513898	0.91084183
cg10534480	0.948345036	0.95446546	0.954213625	0.937280392	0.938211787	0.946648405
cg10538486	0.954252146	0.948980021	0.951241017	0.950564866	0.954678067	0.951813551
cg10571987	0.483198321	0.561565214	0.645733317	0.373808771	0.514331622	0.535543842
cg10590338	NA	NA	NA	NA	NA	NA
cg10606698	0.420312601	0.492746747	0.312693409	NA	0.46491864	NA
cg10625579	NA	NA	NA	NA	NA	NA
cg10636447	0.739747244	0.682541294	0.775049214	0.592449793	0.68723612	0.641025256
cg10650398	NA	NA	NA	NA	NA	NA
cg10653607	NA	NA	NA	NA	NA	NA
cg10679182	NA	NA	NA	NA	NA	NA
cg10686550	0.304321534	0.217385466	0.248070135	0.218416126	0.307819265	0.264496908
cg10696302	0.953820723	0.960898338	0.959244791	0.952010825	0.960976694	0.964284145
cg10738368	0.368511894	0.333806808	0.315329884	0.402277214	0.340605156	0.351767059
cg10738648	NA	NA	NA	NA	NA	NA
cg10756457	0.404599693	0.45840818	0.47281105	0.562286604	0.380050082	0.447963683
cg10759817	NA	NA	NA	NA	NA	NA
cg10761639	NA	NA	NA	NA	NA	NA
cg10771931	NA	NA	NA	NA	NA	NA
cg10776061	NA	NA	NA	NA	NA	NA
cg10809282	0.699564648	0.816091187	0.831496891	0.836477578	0.709902929	0.817285326
cg10812889	NA	NA	NA	NA	NA	NA
cg10833066	0.521631936	0.546060123	0.547908729	0.370403158	0.426250757	0.463655255
cg10879348	NA	NA	NA	NA	NA	NA
cg10901867	NA	NA	NA	NA	NA	NA
cg10935064	0.963664524	0.965641679	0.968073317	0.953272	0.961105866	0.963171966
cg10938233	NA	NA	NA	NA	NA	NA
cg10981111	0.92809384	0.918763702	0.915720414	0.917101558	0.926604824	0.929244238
cg10993865	NA	NA	NA	NA	NA	NA
cg11014960	NA	NA	NA	NA	NA	NA
cg11050612	0.637522422	0.606870777	0.679861879	0.516111453	0.729041885	0.722202496
cg11053632	0.535877958	0.53515814	0.613221494	0.67305817	0.517812607	0.63135793
cg11063877	0.804224836	0.846729006	0.793057943	0.830197373	0.82521495	0.829766916
cg11072113	0.51803576	0.48975243	0.481271721	0.502915795	0.504800414	0.481159376
cg11108991	NA	NA	NA	NA	NA	NA
cg11125805	NA	NA	NA	NA	NA	NA
cg11143152	NA	NA	NA	NA	NA	NA
cg11144229	0.923794906	0.944314064	0.934754385	0.942158128	0.954647559	0.946954854
cg11146114	0.454905139	0.458004815	0.431843932	0.345040134	0.525617124	0.43968791
cg11162116	NA	NA	NA	NA	NA	NA
cg11172857	0.890388676	0.875172578	0.912122738	NA	0.904850911	NA
cg11187204	0.742104694	0.658553683	0.530555631	0.814146455	0.757675466	0.699977751
cg11207793	NA	NA	NA	NA	NA	NA
cg11211624	NA	NA	NA	NA	NA	NA
cg11222219	0.943159128	0.942136156	0.963512284	0.940135783	0.939844746	0.936082538
cg11223365	0.434434499	0.43814384	0.500993036	0.365145088	0.43067749	0.421453702
cg11228113	0.06600441	0.105945771	0.119269111	0.074995835	0.054239474	0.081689672
